קטגוריה,פריט,סטטוס,פירוט
סקירה כללית,מטרת הפרויקט,הושלם,"מערכת ניהול מלאי כלים לעגלות בודקים בתעשייה האווירית - מעקב מיקום, כיול, שבירה, דוחות"
סקירה כללית,משתמש,מידע,אציל חלבי - איש קשר בהזמנות מול שמיר כלים
סקירה כללית,היקף,מידע,"כ-2000 כלים, פרויקט נוכחי מכסה 5 עגלות מהזמנה 62694 + עגלת בודקים מהזמנה 62836"
סקירה כללית,אילוצי מחשב עבודה,קריטי,"אין Python, אין הרשאות macros, אין אינטרנט, חוסם EXE חיצוני, העברת קבצים רק במייל"
מסע פיתוח,ניסוי 1 - Microsoft Access,ננטש,כשל: Claude לא יכול ליצור קובץ accdb. ננטש מוקדם
מסע פיתוח,ניסוי 2 - Excel + VBA macros,ננטש,"כשל: macros חסומים במחשב עבודה, טפסי VBA דורשים בנייה ידנית, שגיאות קידוד עברית בקבצי bas"
מסע פיתוח,ניסוי 3 - Python tkinter,ננטש,כשל: Python לא מותקן במחשב העבודה. הרצה נכשלה לחלוטין
מסע פיתוח,ניסוי 4 - Excel ללא macros,חלקי,"עובד אך מוגבל: סינון עם נוסחאות, אין אוטומציה אמיתית. שימש כגיבוי"
מסע פיתוח,גרסה סופית - HTML standalone,פעיל,"קובץ HTML יחיד, עובד offline, נתונים ב-localStorage, פותח בכל דפדפן כולל טלפון"
רכיבי HTML,דף בית,הושלם,"4 כרטיסי סטטיסטיקה לחיצים: סהכ כלים, דורשי כיול, פגי תוקף 60 יום, מיקום מיוחד"
רכיבי HTML,חיפוש חכם,הושלם,"רשימה גלילה חיה לכל שדה - מזהה, מקט יצרן, תיאור, עגלה, מגירה, מיקום, מזהה כיול"
רכיבי HTML,דוחות,הושלם,"3 פורמטים: צפייה בדפדפן, PDF, Excel. סוגים: הכל/מכויילים/פגי תוקף/מיקום מיוחד/לפי מיקום/לפי עגלה"
רכיבי HTML,ניהול ותכנון,הושלם,"מוגן בסיסמה 3527. הוספה/עריכה/הסרה/העברת כלי, מיקומים, ייבוא/ייצוא"
רכיבי HTML,היררכיית מיקומים,הושלם,מיקום L0042 > עגלה C01 > מגירה C01-A1 > כלי C01-A1-0001
רכיבי HTML,פורמט מזהה מגירה,הושלם,סיומת חופשית עד 2 תווים: A / A1 / AA / 1 / 11 / B2
רכיבי HTML,העברת עגלה שלמה,הושלם,"עגלה שלמה זזה בין מיקומים עם כל הכלים, או כלי בודד"
רכיבי HTML,מחיקת עגלה,הושלם,3 אפשרויות: העבר כלים למיקום מיוחד / השאר במקום / מחק הכל
רכיבי HTML,מיקומים מיוחדים,הושלם,כיול ושבור כתחנות מעבר. כלי חייב להיות במיקום מיוחד לפני מחיקה
רכיבי HTML,בדיקת כפילויות בייבוא,הושלם,מזהה כלים קיימים לפי מקט+תיאור+מגירה. אפשרויות: דלג/עדכן/עצור עם דוח
רכיבי HTML,מזהה כלי חרוט,הושלם,"עמודה אופציונלית - אם חרטת מזהה פיזית, המערכת משתמשת בו במקום סידורי אוטומטי"
קבצי Excel,טופס הוספת כלים גנרי,הושלם,"136 כלים מההזמנה הראשית, עמודות תואמות לייבוא"
קבצי Excel,הזמנה 62836 - עגלת בודקים,הושלם,"55 יחידות כלים (פוצלו לפי כמות), 5 מכויילים, 2 שירותים הושמטו"
קבצי Excel,תבנית ייבוא עם הוראות,הושלם,"3 גיליונות: כלים, הוראות, דוגמה ממולאת"
כשלים,Access לא נתמך,נפתר,פתרון: מעבר לפורמטים אחרים
כשלים,macros חסומים,נפתר,פתרון: מעבר ל-HTML שלא דורש macros
כשלים,Python לא מותקן,נפתר,פתרון: HTML עובד בדפדפן ללא התקנות
כשלים,קוד HTML נחתך בתצוגה,נפתר,כשל: גרשיים עבריים בתוך template literals שברו את ה-JavaScript. תוקן
כשלים,JSON לא נטען בתוכנה,נפתר,סיבה: קבצים בתיקיות שונות. פתרון: כל הקבצים באותה תיקייה
כשלים,הוספה למסך בית באנדרואיד,חלקי,קושי: Chrome חוסם Add to Home Screen לקבצים מקומיים (file://). פתרון חלקי: Files > Create shortcut
כשלים,ייבוא לא קישר כלים למבנה,נפתר,כשל קריטי: ייבוא ישן שמר שמות טקסט בלי cartId/drawerId. תוקן - ייבוא לפי מזהה מגירה
כשלים,מספר סידורי לא כיבד חריטה,נפתר,כשל: המערכת יצרה סידורי אקראי ולא תאם למזהה החרוט. תוקן - עמודת מזהה כלי חרוט
כשלים,העברת קבצים למחשב עבודה,פתרון עוקף,"אילוץ: חוסם קבצים חיצוניים. פתרון: שמירה כ-txt ושינוי סיומת, או מייל"
סוגיות פתוחות,שיתוף רב-משתמשים,לא הוחלט,"נדונו: שרת LAN, Google Sheets, Termux בטלפון, GitHub Pages, Glitch. ממתין להחלטה"
סוגיות פתוחות,מזהה ללא קידומת C,לא הוחלט,המשתמש חרט 99-1-1 בלי C. המערכת דורשת C99-01-0001. ממתין להחלטה אם להתאים
סוגיות פתוחות,עדכון קובץ 5 עגלות,ממתין,להוסיף עמודת מזהה חרוט לקובץ הזמנה 62694
המלצות שיפור,גיבוי אוטומטי,מומלץ,localStorage נמחק אם מנקים דפדפן. להוסיף ייצוא JSON אוטומטי תקופתי לקובץ גיבוי
המלצות שיפור,שיתוף נתונים,מומלץ עליון,"Google Sheets + Apps Script: חינמי, נתונים מרוכזים, צפייה לכולם, עריכה למורשים בלבד"
המלצות שיפור,היסטוריית תנועות,לשיקול,מעקב מתי כלי עבר לכיול/חזר/נשבר - שימושי לביקורת אך מסבך
המלצות שיפור,התראות כיול,מומלץ,כרגע צריך לבדוק ידנית. להוסיף סימון ויזואלי בולט בדף הבית לכלים שפג תוקפם
